2025-09-28 12:40:24.257 +03:00 [WRN] The foreign key property 'LotteryDraw.HouseId1' was created in shadow state because a conflicting property with the simple name 'HouseId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.345 +03:00 [WRN] The foreign key property 'LotteryTicket.HouseId1' was created in shadow state because a conflicting property with the simple name 'HouseId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.348 +03:00 [WRN] The foreign key property 'LotteryTicket.UserId1' was created in shadow state because a conflicting property with the simple name 'UserId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.349 +03:00 [WRN] The foreign key property 'Transaction.UserId1' was created in shadow state because a conflicting property with the simple name 'UserId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.349 +03:00 [WRN] The foreign key property 'UserAddress.UserId1' was created in shadow state because a conflicting property with the simple name 'UserId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.349 +03:00 [WRN] The foreign key property 'UserNotification.UserId1' was created in shadow state because a conflicting property with the simple name 'UserId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.349 +03:00 [WRN] The foreign key property 'UserPaymentMethod.UserId1' was created in shadow state because a conflicting property with the simple name 'UserId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.350 +03:00 [WRN] The foreign key property 'UserPhone.UserId1' was created in shadow state because a conflicting property with the simple name 'UserId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.350 +03:00 [WRN] The foreign key property 'UserPromotion.PromotionId1' was created in shadow state because a conflicting property with the simple name 'PromotionId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.350 +03:00 [WRN] The foreign key property 'UserPromotion.UserId1' was created in shadow state because a conflicting property with the simple name 'UserId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:24.350 +03:00 [WRN] The foreign key property 'UserSession.UserId1' was created in shadow state because a conflicting property with the simple name 'UserId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core.
2025-09-28 12:40:25.152 +03:00 [INF] Database setup and seeding completed successfully
2025-09-28 12:40:25.160 +03:00 [INF] Starting Amesa Lottery API
2025-09-28 12:40:25.233 +03:00 [INF] Lottery draw service running...
2025-09-28 12:40:25.239 +03:00 [INF] Notification background service running...
2025-09-28 12:40:59.117 +03:00 [INF] Request 9a4789be started: GET /api/v1/translations/en from ::1
2025-09-28 12:40:59.637 +03:00 [INF] Request 9a4789be completed: GET /api/v1/translations/en - 200 in 531ms
2025-09-28 12:41:25.248 +03:00 [INF] Notification background service running...
2025-09-28 12:42:25.259 +03:00 [INF] Notification background service running...
2025-09-28 12:43:25.267 +03:00 [INF] Notification background service running...
2025-09-28 12:44:25.267 +03:00 [INF] Notification background service running...
2025-09-28 12:45:25.243 +03:00 [INF] Lottery draw service running...
2025-09-28 12:45:25.279 +03:00 [INF] Notification background service running...
2025-09-28 12:46:25.284 +03:00 [INF] Notification background service running...
2025-09-28 12:47:25.290 +03:00 [INF] Notification background service running...
2025-09-28 12:48:25.306 +03:00 [INF] Notification background service running...
2025-09-28 12:49:25.317 +03:00 [INF] Notification background service running...
2025-09-28 12:50:25.243 +03:00 [INF] Lottery draw service running...
2025-09-28 12:50:25.318 +03:00 [INF] Notification background service running...
2025-09-28 12:51:25.326 +03:00 [INF] Notification background service running...
2025-09-28 12:52:25.333 +03:00 [INF] Notification background service running...
2025-09-28 12:53:25.336 +03:00 [INF] Notification background service running...
2025-09-28 12:54:25.345 +03:00 [INF] Notification background service running...
2025-09-28 12:55:25.259 +03:00 [INF] Lottery draw service running...
2025-09-28 12:55:25.350 +03:00 [INF] Notification background service running...
2025-09-28 12:56:25.359 +03:00 [INF] Notification background service running...
2025-09-28 12:57:25.363 +03:00 [INF] Notification background service running...
2025-09-28 12:58:25.366 +03:00 [INF] Notification background service running...
2025-09-28 12:59:25.368 +03:00 [INF] Notification background service running...
2025-09-28 13:00:25.273 +03:00 [INF] Lottery draw service running...
2025-09-28 13:00:25.369 +03:00 [INF] Notification background service running...
2025-09-28 13:01:25.376 +03:00 [INF] Notification background service running...
2025-09-28 13:02:25.392 +03:00 [INF] Notification background service running...
2025-09-28 13:03:25.392 +03:00 [INF] Notification background service running...
2025-09-28 13:04:25.394 +03:00 [INF] Notification background service running...
2025-09-28 13:05:25.276 +03:00 [INF] Lottery draw service running...
2025-09-28 13:05:25.400 +03:00 [INF] Notification background service running...
2025-09-28 13:06:25.414 +03:00 [INF] Notification background service running...
2025-09-28 13:07:25.423 +03:00 [INF] Notification background service running...
2025-09-28 13:08:25.424 +03:00 [INF] Notification background service running...
2025-09-28 13:09:25.430 +03:00 [INF] Notification background service running...
2025-09-28 13:10:25.280 +03:00 [INF] Lottery draw service running...
2025-09-28 13:10:25.437 +03:00 [INF] Notification background service running...
2025-09-28 13:11:25.440 +03:00 [INF] Notification background service running...
2025-09-28 13:12:25.442 +03:00 [INF] Notification background service running...
2025-09-28 13:13:25.445 +03:00 [INF] Notification background service running...
2025-09-28 13:14:25.447 +03:00 [INF] Notification background service running...
2025-09-28 13:15:25.293 +03:00 [INF] Lottery draw service running...
2025-09-28 13:15:25.450 +03:00 [INF] Notification background service running...
2025-09-28 13:16:25.459 +03:00 [INF] Notification background service running...
2025-09-28 13:17:25.463 +03:00 [INF] Notification background service running...
2025-09-28 13:18:25.464 +03:00 [INF] Notification background service running...
